Company Name,Address,City,Website,Company Stage,Focus Area
1Cell.Ai,,Cupertino,https://1cell.ai,Pre-clinical/Startup,Cancer diagnostics
1cBio,,San Francisco,https://www.1cbio.com,Pre-clinical/Startup,Small molecule drug discovery
64x Bio,,San Francisco,https://64xbio.com,Pre-clinical/Startup,High-throughput cell line engineering
92Bio,,Hayward,https://92biotech.com,Pre-clinical/Startup,Multispecific biologics (oncology)
AAT Bioquest,,Pleasanton,https://aatbio.com,Tools/Services/CDMO,Bioanalytical reagents & kits
ALLInBio,,San Francisco,https://allinbio.com,Pre-clinical/Startup,Precision immunology solutions
ALX Oncology,,South San Francisco,https://alxoncology.com,Clinical-Stage Biotech,Immuno-oncology (cancer)
AN2 Therapeutics,,Menlo Park,https://an2therapeutics.com,Clinical-Stage Biotech,Infectious disease therapeutics
APstem Therapeutics,,Fremont,https://apstemtx.com,Pre-clinical/Startup,Stem cell therapies
ARIZ Precision Medicine,,Davis,https://arizbio.com,Pre-clinical/Startup,Small-molecule therapeutics
ASI Bio (ashibio),,Burlingame,https://ashibio.com,Pre-clinical/Startup,Bone/connective disorder therapies
ATUM (DNA2.0),,Newark,https://atum.bio,Tools/Services/CDMO,Gene synthesis & protein engineering
Aarvik Therapeutics,,Hayward,https://aarviktx.com,Pre-clinical/Startup,Antibody-drug conjugates
Aayam Therapeutics,,San Jose,https://aayamtx.com,Pre-clinical/Startup,505(b)(2) drug repurposing
Ab Studio,,Hayward,https://antibodystudio.com,Tools/Services/CDMO,Antibody humanization services
AbTherx,,Mountain View,https://abtherx.com,Pre-clinical/Startup,Therapeutic antibody discovery
AbboMax,,San Jose,https://abbomax.com,Tools/Services/CDMO,Antibody peptide & assay products
Abbott (Bay Area),,Alameda,https://abbott.com,Large Pharma,Diabetes care products
Abcam,,Fremont,https://abcam.com,Commercial-Stage Biotech,Antibodies & reagents
Abiosciences,,South San Francisco,https://abiosciences.com,Pre-clinical/Startup,Single-cell sequencing & AI design
Abram Scientific,,South San Francisco,https://abramscientific.com,Tools/Services/CDMO,Hemostasis diagnostic devices
AccuraGen,,San Jose,https://accuragen.com,Pre-clinical/Startup,Liquid biopsy (cancer)
Accuray,,Sunnyvale,https://accuray.com,Commercial-Stage Biotech,Targeted radiation therapy
Accurus Biosciences,,Richmond,https://accurusbio.com,Tools/Services/CDMO,Cellular & antibody services
Accuryn Medical,,Hayward,https://accuryn.com,Commercial-Stage Biotech,Patient monitoring devices
AceLink Therapeutics,,Newark,https://acelinktherapeutics.com,Pre-clinical/Startup,Rare disease drug development
Acelot,,South San Francisco,https://acelot.com,Pre-clinical/Startup,Neurodegenerative disease therapies
Acepix Biosciences,,Union City,https://acepixbio.com,Pre-clinical/Startup,Cell-based pathology products
Achelois BioPharma,,Redwood City,https://achelois.bio,Pre-clinical/Startup,Antiviral (molecular velcro)
Achira,,San Francisco,https://achira.ai,Pre-clinical/Startup,Atomistic simulation drug discovery
