Company Name,Website,City,Address,Company Stage,Focus Areas,Description,Validation_Source,original_index
LTZ Therapeutics,https://www.ltztherapeutics.com/,Redwood City,,,Immunotherapies,,BPG,1222
LabyRx Immuno-Oncology,https://labyrx.com/,Sacramento,,,Monoclonal Antibody,,BPG,1223
LadRx,https://www.ladrxcorp.com/,Los Angeles,,,"Small Molecules, DNA",,BPG,1224
Laguna Biotherapeutics,https://www.lagunabio.com/,San Francisco,,,Microbe to Activate Immune Cells,,BPG,1225
Laguna Tech,https://lagunatechmed.com/,Irvine,,,Transcatheter aortic and mitral heart valve replacement systems,,BPG,1226
Lassen Therapeutics,https://lassentherapeutics.com/,San Diego,,,Anti-IL-11 Antibodies,,BPG,1227
Lassogen,https://www.lassogen.com/,San Diego,,,Lasso peptide-based therapies,,BPG,1228
LatchBio,https://latch.bio/,San Francisco,,,Cloud bioinformatics platform to help biological teams accelerate their R&D.,,BPG,1229
Latent Labs,https://www.latentlabs.com/,San Francisco,,,AI models to design and optimize proteins,,BPG,1230
LatentSpace Therapeutics,https://latentspacetherapeutics.com/,La Jolla,,,AI Drug Discovery,,BPG,1231
Latigo Biotherapeutics,https://latigobio.com/,Thousand Oaks,,,Non-opioid Pain Relief,,BPG,1232
Latitude Pharmaceuticals,https://www.latitudepharma.com/,San Diego,,,Formulation Services,,BPG,1233
Laza Medical,https://lazamedical.com/,Campbell,,,AI-Powered Robotically-Assisted Imaging,,BPG,1234
LeGene Biosciences,http://legenebiosciences.com/,San Diego,,,Molecular Biology Reagents,,BPG,1235
Leaf Healthcare,https://www.sn-leaf.com/,Pleasanton,,,"Wireless, wearable Patient Sensor",,BPG,1236
Leapfrog Bio,https://www.leapfrog.bio/,San Mateo,,,Small Molecule Drug Screening,,BPG,1237
Leardon Solutions,https://www.leardon.com/,San Diego,,,Diagnostic and Device Development,,BPG,1238
Leiner Health Products,http://www.findarticles.com/p/articles/mi_m5072/is_10_25/ai_99125165,,,,,"Leiner Health Products was a company based in Carson, California, and was one of America's largest manufacturers of vitamins, minerals, herbal nutritional supplements, and generic medications.",Wikipedia,1239
Leucadia Therapeutics,https://www.leucadiatx.com/,Riverside,,,Medical device for Alzheimer's,,BPG,1240
Level Zero Health,https://www.levelzerohealth.com/,San Francisco,,,Continuous Hormone Monitoring,,BPG,1241
Levena Biopharma,https://www.levenabiopharma.com/,San Diego,,,Antibody-drug Conjugation,,BPG,1242
Levita Magnetics,https://www.levita.com/,Mountain View,,,Magnetic Surgical System,,BPG,1243
LevitasBio,https://levitasbio.com/,Menlo Park,,,Cellular Analysis using Magnetic Levitation,,BPG,1244
