Company Name,Website,City,Address,Relevance to Profile,Company Stage,Notes,Hiring
Acepodia,https://www.acepodia.com,Alameda,"1600 Harbor Bay Pkwy, Suite 140, Alameda, CA 94502",2,Clinical-Stage Biotech,Antibody-Cell Conjugation (ACC™) Technology,
Adanate,https://www.adanate.com,Alameda,"1010 Atlantic Avenue, Suite 102, Alameda, CA 94501",2,Clinical-Stage Biotech,Antibody Therapeutics for Immuno-oncology,
AllCells,https://www.allcells.com,Alameda,"1301 Harbor Bay Pkwy, Suite 200, Alameda, CA 94502",3,Tools/Services/CDMO,Human primary cells for CGT. Supports cell therapy R&D; GMP-adjacent lab operations.,
Apertor Pharmaceuticals,https://www.apertorpharma.com,Alameda,"1640 South Loop Road, Suite 200, Alameda, CA 94502",1,Pre-clinical/Startup,Molecular Glues & Protein-Protein Interaction Disruption,
CellFE,https://www.cellfe.com,Alameda,"1000 Atlantic Ave #104, Alameda, CA 94501",2,Pre-clinical/Startup,Microfluidics for Intracellular Delivery,
Exelixis,https://www.exelixis.com,Alameda,"1851 Harbor Bay Parkway, Alameda, CA 94502",2,Commercial-Stage Biotech,Oncology Drug Development (Small Molecule & Biologics). Oncology drug developer; small-molecule discovery/dev,
GeneFab,https://www.genefab.com,Alameda,"1430 Harbor Bay Parkway, Alameda, CA 94502",3,Tools/Services/CDMO,CRDMO for Cell & Gene Therapies,
Ohmic Biosciences,https://www.ohmicbio.com,Alameda,"1401 21st Street, Suite R, Sacramento, CA 95811, United States",1,Pre-clinical/Startup,Protein Engineering for Crop Disease Resistance,
Santa Ana Bio,https://www.santaanabio.com,Alameda,"1105 Atlantic Ave, Alameda, CA 94501",2,Pre-clinical/Startup,Precision Immunology & Antibody Engineering,
Scribe Therapeutics,https://www.scribetx.com,Alameda,"1150 Marina Village Parkway, Suite 100, Alameda, CA 94501",1,Pre-clinical/Startup,CRISPR Enzyme Engineering for In Vivo Therapies. Protein engineering of nucleases; strong structural fit.,
USDA Western Regional Research Center,https://www.ars.usda.gov/pacific-west-area/albany-ca/wrrc/,Albany,"800 Buchanan St, Albany, CA 94710",1,Academic/Gov't,Agricultural Research & Protein Chemistry & Enzymes. Protein chemistry/enzymes; comp/analytical methods,
Acrigen Biosciences,https://www.acrigen.com,Berkeley,"626 Bancroft Way, Berkeley, CA 94702",1,Pre-clinical/Startup,Precision CRISPR Gene Editing & Anti-CRISPR Proteins,
